id,fieldLayoutId,uid,enabled,archived,dateCreated,dateUpdated,siteSettingsId,slug,siteId,uri,enabledForSite,sectionId,typeId,authorId,postDate,expiryDate,contentId,title,field_body,field_city,field_copyright,field_embedLink,field_introduction,field_moreLink,field_moreText,field_redirectToLink,field_redirect,field_region,field_shortTitle,field_subtitle,root,lft,rgt,level,structureId
304,50,086ab327-f170-48e4-9212-0b915c91bcc3,1,0,"2020-10-01 12:32:47","2020-10-01 12:32:47",304,what-they-say,1,section-default/what-they-say,1,3,36,1,"2020-10-01 12:32:00",null,250,"What they say",null,null,null,null,null,hey,hey,null,null,null,null,null,null,null,null,null,null
300,42,37907de7-8d87-475d-949f-51af4aa06852,1,0,"2020-10-01 12:10:19","2020-10-01 12:10:19",300,a-video,1,stories/video/a-video,1,9,28,1,"2020-10-01 12:09:00",null,246,"A video",null,null,null,https://vimeo.com/359063296,null,null,null,null,null,null,null,"with a subtitle",null,null,null,null,null
296,48,9557dfcc-61c2-437d-8be1-7cd21f0f11cb,1,0,"2020-10-01 12:03:38","2020-10-01 12:03:38",296,chicago,1,region/chicago,1,13,34,1,"2020-10-01 12:03:00",null,242,Chicago,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
294,49,9fe1eea3-daca-4ce0-8374-258dfa62f41d,1,0,"2020-10-01 12:03:34","2020-10-01 12:03:34",294,illinois,1,region/illinois,1,13,35,1,"2020-10-01 12:03:00",null,240,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
291,44,09849e64-9560-4416-b761-fc40f1a5373c,1,0,"2020-10-01 12:00:34","2020-10-01 12:00:34",291,what-our-suppliers-say-about-us,1,section-default/what-our-suppliers-say-about-us,1,3,30,1,"2020-10-01 12:00:00",null,237,"WHAT OUR SUPPLIERS SAY ABOUT US",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
289,45,bef25b47-8106-45c1-866e-c36661885044,1,0,"2020-10-01 12:00:30","2020-10-01 12:00:30",289,andrew-neva-northwest-meat-company-chicago,1,stories/testimonial/andrew-neva-northwest-meat-company-chicago,1,9,31,1,"2020-10-01 12:00:00",null,235,"Andrew Neva - Northwest Meat Company, Chicago",null,null,null,null,"""I was introduced to Choco through one of my sales reps. This is the first product in our industry which is able to tie in ordering, make it easy and put it all in one place. Of all the platforms I have looked at, Choco is the most easy to use and the most customizable, which is why I went for it. I asked all my customers to use Choco because it’s so simple and makes life easy for everybody, while really cutting down on mistakes.

I like the Catalog feature because usually customers would call me and ask me to add items to their order list, but now I can ask them to just flip through my catalog on Choco where they can find what they want, add it to their order guide themselves and even discover new products.""",null,null,null,null,null,null,null,null,null,null,null,null
287,6,b05902eb-c360-4423-9b53-d90d608071e7,1,0,"2020-10-01 12:00:10","2020-10-01 12:00:10",287,andrew-neva,1,customers/andrew-neva,1,2,4,1,"2020-10-01 12:00:00",null,233,"Andrew Neva",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
285,46,4a0e0c8c-c3f9-412a-8cb2-7b0a97c052c7,1,0,"2020-10-01 11:59:51","2020-10-01 11:59:51",285,founder,1,role/founder,1,12,32,1,"2020-10-01 11:59:00",null,231,Founder,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
283,7,bc46ee03-4db8-49a5-a00d-7bba47d52550,1,0,"2020-10-01 11:49:31","2020-10-01 12:03:42",283,northwestern-meat,1,customers/northwestern-meat,1,2,5,1,"2020-10-01 11:49:00",null,229,"Northwestern Meat",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
275,14,af00a79e-5936-4006-93fa-d274307cb9a1,1,0,"2020-10-01 10:14:04","2020-10-01 10:14:04",275,instagram,1,pages/instagram,1,5,12,1,"2020-10-01 10:14:00",null,221,Instagram,null,null,null,null,null,null,null,https://www.instagram.com/appchoco/,,null,null,null,null,null,null,null,null
264,14,5337a5ca-00cf-4a15-aa1c-19d1e41bb55a,1,0,"2020-10-01 09:59:19","2020-10-01 10:13:33",264,android,1,pages/android,1,5,12,1,"2020-10-01 09:59:00",null,210,Android,null,null,null,null,null,null,null,https://play.google.com/store/apps/details?id=app.choco.chocoapp,,null,null,null,null,null,null,null,null
